"CombPer","Cap","IWB","ODB","TotCap","Power"
80.0,39.2,21.0,11.8,43.7,9.7
80.0,39.2,21.0,13.7,43.7,9.19
80.0,39.2,22.0,-15.0,33.5,13.9
80.0,39.2,22.0,-13.0,35.0,14.1
80.0,39.2,22.0,-11.0,36.6,14.4
80.0,39.2,22.0,-10.0,37.5,14.6
80.0,39.2,22.0,-9.1,38.3,14.7
80.0,39.2,22.0,-7.6,39.7,14.9
80.0,39.2,22.0,-5.6,41.7,15.2
80.0,39.2,22.0,-3.7,42.3,14.6
80.0,39.2,22.0,-0.7,42.3,13.3
80.0,39.2,22.0,2.2,42.3,12.2
80.0,39.2,22.0,4.1,42.3,11.6
80.0,39.2,22.0,6.0,42.3,11.0
80.0,39.2,22.0,7.9,42.3,10.4
80.0,39.2,22.0,9.8,42.3,9.8
80.0,39.2,22.0,11.8,42.3,9.32
80.0,39.2,22.0,13.7,42.3,8.86
80.0,39.2,24.0,-15.0,33.4,14.3
80.0,39.2,24.0,-13.0,34.9,14.5
80.0,39.2,24.0,-11.0,36.5,14.8
